date,sise,trading
2009.10.06,"4,390","18,424,532"
2009.10.07,"4,300","13,688,174"
2009.10.08,"4,945","4,194,511"
2009.10.09,"4,340","16,426,267"
2009.10.12,"4,515","10,705,543"
2009.10.13,"4,390","14,203,983"
2009.10.14,"4,720","8,860,516"
2009.10.15,"4,200","6,286,834"
2009.10.16,"3,940","4,745,184"
2009.10.19,"3,925","4,548,920"
2009.10.20,"3,850","4,220,339"
2009.10.21,"3,615","3,617,767"
2009.10.22,"3,555","3,711,133"
2009.10.23,"3,430","2,175,950"
2009.10.26,"3,610","3,591,284"
2009.10.27,"3,490","1,795,424"
2009.10.28,"3,450","6,383,586"
2009.10.29,"3,615","2,778,422"
2009.10.30,"3,400","1,786,722"
2009.11.02,"3,500","1,410,829"
2009.11.03,"3,520","3,247,525"
2009.11.04,"3,370","1,361,480"
2009.11.05,"3,380","4,685,171"
2009.11.06,"3,535","2,148,307"
2009.11.09,"3,600","2,161,306"
2009.11.10,"3,455","1,440,515"
2009.11.11,"3,620","1,277,134"
2009.11.12,"3,945","11,359,730"
2009.11.13,"3,840","3,151,671"
2009.11.16,"3,630","4,105,600"
2009.11.17,"3,090","3,119,094"
2009.11.18,"2,955","2,093,920"
2009.11.19,"2,840","1,153,925"
2009.11.20,"2,880","742,738"
2009.11.23,"2,995","2,723,176"
2009.11.24,"2,905","776,482"
2009.11.25,"2,840","508,417"
2009.11.26,"2,720","802,722"
2009.11.27,"2,490","994,380"
2009.11.30,"2,860","901,945"
2009.12.01,"2,920","3,045,289"
2009.12.02,"2,835","790,078"
2009.12.03,"3,260","4,789,222"
2009.12.04,"3,150","2,626,195"
2009.12.07,"3,145","3,389,867"
2009.12.08,"3,300","5,374,039"
2009.12.09,"3,270","1,221,659"
2009.12.10,"3,360","4,511,261"
2009.12.11,"3,275","1,367,731"
2009.12.14,"3,225","3,820,891"
2009.12.15,"3,170","921,954"
2009.12.16,"3,275","1,744,116"
2009.12.17,"3,200","742,356"
2009.12.18,"3,250","1,003,444"
2009.12.21,"3,465","3,028,362"
2009.12.22,"3,320","1,275,866"
2009.12.23,"3,240","717,748"
2009.12.24,"3,200","590,916"
2009.12.28,"3,085","709,315"
2009.12.29,"3,320","3,339,691"
2009.12.30,"3,815","2,694,821"
2010.01.04,"4,385","2,307,055"
2010.01.05,"5,040","9,113,535"
2010.01.06,"4,705","8,186,142"
2010.01.07,"4,935","10,181,087"
2010.01.08,"4,485","3,776,606"
2010.01.11,"4,600","2,916,746"
2010.01.12,"5,290","9,301,182"
2010.01.13,"5,690","15,277,961"
2010.01.14,"5,870","15,303,176"
2010.01.15,"6,310","16,942,661"
2010.01.18,"6,300","7,179,838"
2010.01.19,"6,230","9,238,245"
2010.01.20,"5,730","6,167,874"
2010.01.21,"5,610","5,355,919"
2010.01.22,"5,680","3,896,560"
2010.01.25,"5,400","7,968,735"
2010.01.26,"5,530","2,930,494"
2010.01.27,"5,360","6,069,274"
2010.01.28,"4,620","4,951,363"
2010.01.29,"3,950","5,125,958"
2010.02.01,"4,365","5,067,031"
2010.02.02,"4,500","4,208,942"
2010.02.03,"4,430","1,861,378"
2010.02.04,"5,090","5,579,389"
2010.02.05,"4,900","14,191,460"
2010.02.08,"4,490","3,801,172"
2010.02.09,"4,455","2,509,341"
2010.02.10,"4,430","3,191,431"
2010.02.11,"4,625","2,657,157"
2010.02.12,"4,645","1,820,621"
2010.02.16,"4,810","1,719,260"
2010.02.17,"5,530","7,297,723"
2010.02.18,"5,270","9,695,251"
2010.02.19,"5,300","8,287,979"
2010.02.22,"5,450","3,701,870"
2010.02.23,"5,320","2,867,277"
2010.02.24,"5,500","2,643,077"
2010.02.25,"5,180","2,088,215"
2010.02.26,"5,170","1,041,947"
2010.03.02,"5,350","2,253,805"
2010.03.03,"5,480","2,513,431"
2010.03.04,"5,240","2,674,449"
2010.03.05,"5,340","4,051,762"
2010.03.08,"5,400","2,222,853"
2010.03.09,"5,580","8,015,047"
2010.03.10,"5,990","6,740,947"
2010.03.11,"5,900","5,901,017"
2010.03.12,"6,240","5,112,834"
2010.03.15,"6,030","3,214,568"
2010.03.16,"5,860","5,181,934"
2010.03.17,"5,780","1,810,781"
2010.03.18,"5,850","1,380,802"
2010.03.19,"5,700","1,776,940"
2010.03.22,"5,730","958,777"
2010.03.23,"5,910","2,345,442"
2010.03.24,"5,170","7,599,734"
2010.03.25,"5,070","1,289,803"
2010.03.26,"5,300","1,502,104"
2010.03.29,"5,520","3,424,435"
2010.03.30,"5,300","4,021,107"
2010.03.31,"5,180","1,049,616"
2010.04.01,"5,190","1,409,631"
2010.04.02,"5,240","947,077"
2010.04.05,"5,120","2,338,721"
2010.04.06,"4,770","1,511,183"
2010.04.07,"4,860","1,136,582"
2010.04.08,"4,830","1,310,749"
2010.04.09,"4,660","661,832"
2010.04.12,"4,530","622,092"
2010.04.13,"4,580","552,089"
2010.04.14,"4,635","542,389"
2010.04.15,"4,430","743,232"
2010.04.16,"4,320","639,119"
2010.04.19,"4,080","768,874"
2010.04.20,"4,175","680,855"
2010.04.21,"4,225","463,474"
2010.04.22,"4,180","558,788"
2010.04.23,"4,050","677,169"
2010.04.26,"4,440","3,751,887"
2010.04.27,"4,540","1,195,928"
2010.04.28,"4,570","1,727,608"
2010.04.29,"4,585","749,022"
2010.04.30,"4,455","649,516"
2010.05.03,"4,235","545,727"
2010.05.04,"4,215","418,088"
2010.05.06,"3,990","486,005"
2010.05.07,"3,995","599,843"
2010.05.10,"4,330","561,540"
2010.05.11,"4,245","564,853"
2010.05.12,"4,400","637,579"
