date,sise,trading
2009.10.06,"97,000","1,398,621"
2009.10.07,"89,500","2,579,789"
2009.10.08,"95,200","2,165,742"
2009.10.09,"97,100","1,087,241"
2009.10.12,"99,200","950,996"
2009.10.13,"98,700","1,212,893"
2009.10.14,"100,500","756,438"
2009.10.15,"99,600","1,080,730"
2009.10.16,"94,000","1,875,013"
2009.10.19,"96,800","1,198,903"
2009.10.20,"95,600","696,067"
2009.10.21,"95,400","638,780"
2009.10.22,"95,600","929,245"
2009.10.23,"100,000","1,621,312"
2009.10.26,"103,000","1,489,226"
2009.10.27,"104,500","1,087,594"
2009.10.28,"101,000","1,171,379"
2009.10.29,"103,000","1,264,099"
2009.10.30,"99,900","1,132,053"
2009.11.02,"96,500","1,185,050"
2009.11.03,"94,600","859,696"
2009.11.04,"97,600","822,815"
2009.11.05,"95,000","499,784"
2009.11.06,"96,100","544,307"
2009.11.09,"99,000","748,672"
2009.11.10,"97,400","995,337"
2009.11.11,"98,700","469,903"
2009.11.12,"96,600","622,621"
2009.11.13,"94,500","1,048,606"
2009.11.16,"95,100","659,372"
2009.11.17,"92,100","1,098,360"
2009.11.18,"93,500","644,066"
2009.11.19,"96,400","876,744"
2009.11.20,"96,400","468,662"
2009.11.23,"95,400","622,186"
2009.11.24,"93,800","700,669"
2009.11.25,"93,500","529,995"
2009.11.26,"92,500","708,956"
2009.11.27,"90,800","1,164,476"
2009.11.30,"93,000","821,773"
2009.12.01,"95,300","968,217"
2009.12.02,"98,200","1,278,895"
2009.12.03,"98,700","893,503"
2009.12.04,"99,000","744,482"
2009.12.07,"98,800","482,164"
2009.12.08,"98,000","652,524"
2009.12.09,"99,000","625,789"
2009.12.10,"101,000","1,431,470"
2009.12.11,"102,000","896,032"
2009.12.14,"101,000","598,978"
2009.12.15,"98,900","1,318,462"
2009.12.16,"98,400","705,914"
2009.12.17,"98,500","786,402"
2009.12.18,"100,000","565,928"
2009.12.21,"99,900","519,033"
2009.12.22,"99,500","476,364"
2009.12.23,"101,500","988,845"
2009.12.24,"102,500","705,858"
2009.12.28,"103,000","833,101"
2009.12.29,"106,000","1,026,322"
2009.12.30,"107,500","816,008"
2010.01.04,"108,500","768,988"
2010.01.05,"103,000","1,519,170"
2010.01.06,"102,000","1,535,345"
2010.01.07,"98,200","1,786,627"
2010.01.08,"96,400","2,444,174"
2010.01.11,"94,300","1,802,052"
2010.01.12,"95,700","1,149,942"
2010.01.13,"96,700","833,614"
2010.01.14,"96,200","1,213,206"
2010.01.15,"96,000","1,174,377"
2010.01.18,"99,500","1,064,119"
2010.01.19,"96,300","1,428,361"
2010.01.20,"92,800","2,266,261"
2010.01.21,"93,800","813,885"
2010.01.22,"94,900","890,226"
2010.01.25,"97,900","2,275,364"
2010.01.26,"96,000","1,260,696"
2010.01.27,"96,800","919,338"
2010.01.28,"100,000","1,780,532"
2010.01.29,"97,500","1,470,406"
2010.02.01,"97,600","1,000,063"
2010.02.02,"94,100","1,172,445"
2010.02.03,"94,300","659,653"
2010.02.04,"95,600","487,347"
2010.02.05,"93,100","696,155"
2010.02.08,"94,000","620,557"
2010.02.09,"96,700","695,712"
2010.02.10,"98,100","1,038,496"
2010.02.11,"98,600","738,609"
2010.02.12,"98,600","559,068"
2010.02.16,"97,600","401,283"
2010.02.17,"98,300","700,060"
2010.02.18,"98,000","432,078"
2010.02.19,"95,800","709,779"
2010.02.22,"98,900","606,456"
2010.02.23,"100,500","1,143,958"
2010.02.24,"102,000","1,139,042"
2010.02.25,"99,900","1,019,149"
2010.02.26,"100,000","478,314"
2010.03.02,"101,500","524,637"
2010.03.03,"103,000","526,482"
2010.03.04,"102,500","559,106"
2010.03.05,"103,500","448,940"
2010.03.08,"103,500","672,684"
2010.03.09,"104,000","673,477"
2010.03.10,"104,000","459,469"
2010.03.11,"100,500","1,073,130"
2010.03.12,"99,400","1,218,309"
2010.03.15,"99,900","570,498"
2010.03.16,"98,900","563,985"
2010.03.17,"103,000","1,058,223"
2010.03.18,"103,000","800,779"
2010.03.19,"104,000","631,668"
2010.03.22,"104,500","757,522"
2010.03.23,"109,000","1,612,455"
2010.03.24,"109,000","1,011,705"
2010.03.25,"110,000","852,493"
2010.03.26,"108,500","656,197"
2010.03.29,"107,000","514,118"
2010.03.30,"110,500","1,004,474"
2010.03.31,"115,000","1,899,042"
2010.04.01,"120,000","1,718,535"
2010.04.02,"119,500","1,196,395"
2010.04.05,"122,500","880,764"
2010.04.06,"121,500","1,005,856"
2010.04.07,"121,500","858,557"
2010.04.08,"128,000","1,673,912"
2010.04.09,"129,000","1,183,990"
2010.04.12,"122,000","1,780,585"
2010.04.13,"126,000","1,260,561"
2010.04.14,"128,500","1,016,034"
2010.04.15,"126,500","1,423,298"
2010.04.16,"122,500","1,077,807"
2010.04.19,"123,000","877,135"
