date,sise,trading
2009.10.06,"745,000","770,389"
2009.10.07,"722,000","765,488"
2009.10.08,"720,000","1,062,567"
2009.10.09,"755,000","626,954"
2009.10.12,"749,000","432,157"
2009.10.13,"757,000","367,501"
2009.10.14,"769,000","416,979"
2009.10.15,"775,000","356,896"
2009.10.16,"746,000","475,683"
2009.10.19,"751,000","433,832"
2009.10.20,"752,000","283,676"
2009.10.21,"735,000","507,109"
2009.10.22,"726,000","432,397"
2009.10.23,"745,000","432,557"
2009.10.26,"753,000","313,270"
2009.10.27,"742,000","327,005"
2009.10.28,"720,000","513,787"
2009.10.29,"718,000","644,267"
2009.10.30,"723,000","557,328"
2009.11.02,"718,000","464,841"
2009.11.03,"729,000","392,942"
2009.11.04,"733,000","343,542"
2009.11.05,"712,000","373,485"
2009.11.06,"722,000","304,346"
2009.11.09,"724,000","269,437"
2009.11.10,"727,000","392,417"
2009.11.11,"735,000","319,873"
2009.11.12,"720,000","494,977"
2009.11.13,"714,000","431,814"
2009.11.16,"733,000","401,434"
2009.11.17,"728,000","360,325"
2009.11.18,"750,000","593,061"
2009.11.19,"759,000","455,114"
2009.11.20,"755,000","343,361"
2009.11.23,"759,000","288,180"
2009.11.24,"742,000","354,539"
2009.11.25,"749,000","212,706"
2009.11.26,"743,000","236,268"
2009.11.27,"712,000","463,339"
2009.11.30,"720,000","376,335"
2009.12.01,"737,000","345,641"
2009.12.02,"747,000","334,794"
2009.12.03,"759,000","320,498"
2009.12.04,"762,000","366,960"
2009.12.07,"771,000","329,583"
2009.12.08,"772,000","201,922"
2009.12.09,"778,000","356,783"
2009.12.10,"788,000","891,683"
2009.12.11,"785,000","325,591"
2009.12.14,"779,000","310,154"
2009.12.15,"777,000","245,432"
2009.12.16,"780,000","399,330"
2009.12.17,"765,000","317,829"
2009.12.18,"773,000","406,524"
2009.12.21,"771,000","291,763"
2009.12.22,"781,000","245,910"
2009.12.23,"784,000","250,159"
2009.12.24,"790,000","407,107"
2009.12.28,"787,000","235,595"
2009.12.29,"786,000","136,900"
2009.12.30,"799,000","295,625"
2010.01.04,"809,000","239,271"
2010.01.05,"822,000","559,219"
2010.01.06,"841,000","459,755"
2010.01.07,"813,000","443,237"
2010.01.08,"821,000","295,798"
2010.01.11,"797,000","398,901"
2010.01.12,"809,000","384,460"
2010.01.13,"797,000","267,619"
2010.01.14,"827,000","532,705"
2010.01.15,"842,000","398,401"
2010.01.18,"843,000","261,691"
2010.01.19,"823,000","241,308"
2010.01.20,"834,000","384,306"
2010.01.21,"850,000","340,148"
