date,sise,trading
2009.10.06,"8,600","230,938"
2009.10.07,"8,710","67,644"
2009.10.08,"8,890","93,073"
2009.10.09,"9,170","118,737"
2009.10.12,"9,210","64,016"
2009.10.13,"9,150","74,923"
2009.10.14,"9,130","90,522"
2009.10.15,"9,050","71,911"
2009.10.16,"8,790","133,517"
2009.10.19,"8,650","135,907"
2009.10.20,"8,640","94,458"
2009.10.21,"8,360","227,379"
2009.10.22,"8,270","65,980"
2009.10.23,"8,200","76,562"
2009.10.26,"8,050","196,197"
2009.10.27,"8,510","380,513"
2009.10.28,"8,280","156,174"
2009.10.29,"8,080","81,092"
2009.10.30,"7,990","114,022"
2009.11.02,"7,940","96,936"
2009.11.03,"8,100","94,829"
2009.11.04,"8,450","86,323"
2009.11.05,"8,350","57,123"
2009.11.06,"8,370","54,539"
2009.11.09,"8,200","54,660"
2009.11.10,"8,000","92,564"
2009.11.11,"8,120","69,302"
2009.11.12,"8,190","58,940"
2009.11.13,"8,190","23,571"
2009.11.16,"8,110","73,106"
2009.11.17,"8,100","59,556"
2009.11.18,"8,000","66,883"
2009.11.19,"7,810","95,221"
2009.11.20,"7,980","70,691"
2009.11.23,"7,960","53,132"
2009.11.24,"7,900","32,956"
2009.11.25,"8,180","128,544"
2009.11.26,"8,180","79,722"
2009.11.27,"8,000","76,382"
2009.11.30,"8,210","76,054"
2009.12.01,"8,210","125,360"
2009.12.02,"8,630","308,144"
2009.12.03,"8,800","339,293"
2009.12.04,"8,750","104,647"
2009.12.07,"9,200","111,136"
2009.12.08,"9,170","462,375"
2009.12.09,"9,170","97,559"
2009.12.10,"9,040","155,130"
2009.12.11,"8,990","448,701"
2009.12.14,"8,770","182,813"
2009.12.15,"8,840","139,343"
2009.12.16,"8,750","99,627"
2009.12.17,"9,240","635,838"
2009.12.18,"9,340","212,818"
2009.12.21,"9,330","173,709"
2009.12.22,"9,250","425,865"
2009.12.23,"9,080","212,928"
2009.12.24,"9,020","231,092"
2009.12.28,"8,800","894,838"
2009.12.29,"8,320","319,911"
2009.12.30,"8,100","327,828"
2010.01.04,"8,270","131,400"
2010.01.05,"8,200","155,568"
2010.01.06,"8,230","128,507"
2010.01.07,"8,700","474,340"
2010.01.08,"8,900","233,676"
2010.01.11,"9,000","394,882"
2010.01.12,"9,000","255,739"
2010.01.13,"9,120","224,563"
2010.01.14,"9,280","322,097"
