date,sise,trading
2009.10.06,430,"295,910"
2009.10.07,425,"131,431"
2009.10.08,420,"218,676"
2009.10.09,425,"265,681"
2009.10.12,420,"291,938"
2009.10.13,425,"85,850"
2009.10.14,450,"661,647"
2009.10.15,445,"455,888"
2009.10.16,440,"458,638"
2009.10.19,435,"243,841"
2009.10.20,450,"413,277"
2009.10.21,455,"412,100"
2009.10.22,445,"536,278"
2009.10.23,450,"325,941"
2009.10.26,450,"350,125"
2009.10.27,470,"828,115"
2009.10.28,460,"605,607"
2009.10.29,455,"630,533"
2009.10.30,460,"329,830"
2009.11.02,455,"346,505"
2009.11.03,455,"183,117"
2009.11.04,460,"355,575"
2009.11.05,465,"426,680"
2009.11.06,505,"2,091,355"
2009.11.09,505,"733,600"
2009.11.10,485,"695,070"
2009.11.11,495,"552,508"
2009.11.12,505,"545,550"
2009.11.13,500,"418,801"
2009.11.16,535,"1,438,480"
2009.11.17,520,"943,084"
2009.11.18,525,"360,530"
2009.11.19,530,"606,330"
2009.11.20,525,"487,460"
2009.11.23,500,"778,671"
2009.11.24,500,"257,510"
2009.11.25,500,"153,690"
2009.11.26,510,"177,340"
2009.11.27,480,"733,830"
2009.11.30,480,"427,690"
2009.12.01,480,"298,260"
2009.12.02,480,"141,490"
2009.12.03,490,"250,370"
2009.12.04,485,"320,620"
2009.12.07,490,"556,357"
2009.12.08,495,"1,093,144"
2009.12.09,490,"166,029"
2009.12.10,480,"135,272"
2009.12.11,480,"410,584"
2009.12.14,485,"324,190"
2009.12.15,500,"325,440"
2009.12.16,490,"335,193"
2009.12.17,490,"404,940"
2009.12.18,520,"3,072,023"
2009.12.21,515,"458,413"
2009.12.22,510,"615,030"
2009.12.23,510,"734,208"
2009.12.24,510,"207,652"
2009.12.28,505,"199,700"
2009.12.29,505,"177,070"
2009.12.30,495,"410,107"
2010.01.04,490,"324,071"
2010.01.05,500,"161,590"
2010.01.06,510,"201,839"
2010.01.07,510,"305,081"
2010.01.08,520,"480,469"
2010.01.11,530,"289,302"
2010.01.12,515,"319,430"
2010.01.13,520,"437,962"
2010.01.14,540,"398,407"
2010.01.15,535,"451,760"
2010.01.18,520,"458,240"
2010.01.19,530,"379,734"
2010.01.20,525,"220,327"
2010.01.21,515,"304,694"
2010.01.22,505,"297,900"
2010.01.25,505,"282,003"
2010.01.26,505,"327,770"
2010.01.27,505,"339,449"
2010.01.28,510,"186,127"
2010.01.29,500,"314,413"
2010.02.01,505,"264,430"
2010.02.02,505,"252,148"
2010.02.03,505,"137,610"
2010.02.04,520,"344,709"
2010.02.05,510,"248,202"
2010.02.08,490,"519,798"
2010.02.09,500,"251,112"
2010.02.10,500,"181,760"
2010.02.11,510,"162,440"
2010.02.12,515,"189,950"
2010.02.16,515,"55,150"
2010.02.17,515,"171,060"
2010.02.18,525,"171,900"
2010.02.19,540,"561,970"
2010.02.22,560,"1,156,831"
2010.02.23,565,"355,723"
2010.02.24,555,"337,267"
2010.02.25,550,"220,110"
2010.02.26,575,"406,204"
2010.03.02,570,"374,099"
2010.03.03,570,"282,860"
2010.03.04,575,"183,821"
2010.03.05,575,"274,892"
2010.03.08,560,"487,116"
2010.03.09,565,"288,638"
2010.03.10,575,"200,974"
2010.03.11,585,"725,020"
2010.03.12,585,"361,990"
2010.03.15,585,"230,270"
2010.03.16,595,"428,951"
2010.03.17,605,"271,011"
2010.03.18,605,"206,433"
2010.03.19,620,"457,270"
2010.03.22,625,"553,550"
2010.03.23,625,"280,010"
2010.03.24,620,"274,357"
2010.03.25,590,"463,230"
2010.03.26,605,"264,031"
2010.03.29,580,"789,360"
2010.03.30,595,"225,183"
2010.03.31,590,"303,320"
2010.04.01,590,"262,730"
2010.04.02,595,"214,471"
2010.04.05,590,"303,810"
2010.04.06,580,"345,640"
2010.04.07,560,"476,671"
2010.04.08,580,"270,170"
2010.04.09,585,"134,604"
2010.04.12,570,"338,150"
2010.04.13,585,"643,897"
2010.04.14,595,"205,713"
2010.04.15,590,"137,850"
2010.04.16,580,"134,420"
2010.04.19,575,"282,146"
2010.04.20,600,"227,505"
2010.04.21,620,"665,123"
2010.04.22,620,"227,664"
2010.04.23,625,"251,010"
2010.04.26,615,"266,391"
2010.04.27,610,"150,973"
2010.04.28,600,"278,080"
2010.04.29,595,"269,430"
2010.04.30,605,"229,143"
2010.05.03,610,"282,590"
2010.05.04,620,"354,400"
2010.05.06,600,"477,377"
2010.05.07,580,"555,252"
2010.05.10,575,"341,420"
2010.05.11,575,"223,482"
2010.05.12,570,"281,110"
2010.05.13,570,"496,490"
2010.05.14,550,"500,591"
2010.05.17,510,"857,337"
2010.05.18,495,"650,426"
2010.05.19,470,"666,265"
2010.05.20,470,"269,430"
2010.05.24,450,"536,950"
2010.05.25,420,"1,018,640"
2010.05.26,455,"563,850"
2010.05.27,450,"350,900"
2010.05.28,460,"279,345"
2010.05.31,465,"199,622"
2010.06.01,465,"255,192"
2010.06.03,480,"265,980"
2010.06.04,480,"328,450"
2010.06.07,470,"301,373"
2010.06.08,485,"330,460"
2010.06.09,520,"1,111,893"
2010.06.10,510,"506,268"
2010.06.11,510,"445,091"
2010.06.14,500,"275,398"
2010.06.15,475,"716,680"
2010.06.16,475,"357,480"
2010.06.17,470,"246,427"
2010.06.18,460,"219,808"
2010.06.21,465,"202,420"
2010.06.22,465,"165,820"
2010.06.23,465,"176,050"
2010.06.24,465,"199,465"
2010.06.25,465,"186,675"
2010.06.28,455,"176,890"
2010.06.29,445,"220,743"
2010.06.30,435,"274,680"
2010.07.01,440,"127,680"
2010.07.02,445,"81,770"
2010.07.05,455,"141,882"
2010.07.06,445,"154,010"
2010.07.07,440,"224,910"
2010.07.08,445,"165,598"
2010.07.09,425,"413,630"
2010.07.12,415,"443,956"
2010.07.13,425,"266,234"
2010.07.14,425,"414,654"
2010.07.15,425,"258,662"
2010.07.16,420,"320,696"
2010.07.19,420,"271,291"
2010.07.20,425,"428,685"
2010.07.21,485,"5,684,887"
2010.07.22,440,"4,061,790"
2010.07.23,450,"2,025,285"
2010.07.26,435,"687,117"
2010.07.27,425,"372,550"
2010.07.28,425,"339,843"
2010.07.29,430,"332,172"
2010.07.30,430,"160,274"
2010.08.02,425,"425,407"
2010.08.03,420,"288,957"
2010.08.04,420,"320,964"
2010.08.05,415,"324,432"
2010.08.06,415,"200,519"
2010.08.09,415,"360,172"
2010.08.10,410,"158,342"
2010.08.11,405,"330,325"
2010.08.12,400,"254,754"
2010.08.13,400,"117,391"
2010.08.16,405,"195,070"
2010.08.17,405,"103,894"
2010.08.18,400,"200,934"
2010.08.19,395,"274,284"
2010.08.20,400,"200,776"
2010.08.23,410,"443,100"
2010.08.24,410,"187,061"
2010.08.25,400,"179,900"
2010.08.26,400,"107,110"
2010.08.27,390,"188,798"
2010.08.30,400,"56,582"
2010.08.31,395,"236,112"
2010.09.01,410,"259,516"
2010.09.02,400,"132,991"
2010.09.03,400,"183,910"
2010.09.06,400,"101,030"
2010.09.07,400,"81,150"
2010.09.08,400,"82,060"
2010.09.09,400,"171,470"
2010.09.10,395,"207,778"
2010.09.13,405,"187,332"
2010.09.14,395,"196,024"
2010.09.15,400,"128,520"
2010.09.16,400,"201,909"
2010.09.17,405,"306,380"
2010.09.20,420,"470,330"
2010.09.24,410,"137,750"
2010.09.27,415,"170,381"
2010.09.28,415,"122,592"
2010.09.29,420,"173,710"
2010.09.30,415,"63,667"
2010.10.01,425,"271,390"
2010.10.04,415,"203,754"
2010.10.05,410,"242,590"
2010.10.06,406,"141,813"
2010.10.07,403,"273,400"
2010.10.08,407,"205,930"
2010.10.11,402,"67,761"
2010.10.12,400,"164,990"
2010.10.13,400,"65,890"
2010.10.14,400,"272,930"
2010.10.15,402,"159,450"
2010.10.18,398,"356,941"
2010.10.19,400,"207,631"
2010.10.20,399,"162,140"
2010.10.21,398,"140,131"
2010.10.22,403,"199,991"
2010.10.25,400,"232,520"
2010.10.26,400,"139,692"
2010.10.27,398,"189,916"
2010.10.28,398,"188,592"
2010.10.29,398,"76,400"
2010.11.01,392,"301,780"
2010.11.02,389,"361,313"
2010.11.03,387,"306,952"
2010.11.04,392,"87,891"
2010.11.05,383,"232,153"
2010.11.08,384,"162,660"
2010.11.09,394,"226,968"
2010.11.10,391,"247,213"
2010.11.11,391,"149,760"
2010.11.12,387,"131,250"
2010.11.15,385,"105,560"
2010.11.16,381,"135,429"
2010.11.17,375,"135,376"
2010.11.18,387,"169,060"
2010.11.19,389,"165,880"
2010.11.22,387,"143,590"
2010.11.23,390,"122,701"
2010.11.24,384,"215,790"
2010.11.25,390,"74,930"
2010.11.26,385,"120,850"
2010.11.29,379,"175,820"
2010.11.30,381,"105,850"
2010.12.01,381,"69,500"
2010.12.02,383,"45,871"
2010.12.03,383,"95,550"
2010.12.06,377,"215,350"
2010.12.07,382,"80,210"
2010.12.08,383,"91,997"
2010.12.09,410,"4,046,590"
2010.12.10,391,"1,318,520"
2010.12.13,408,"883,770"
2010.12.14,408,"521,675"
2010.12.15,403,"312,041"
2010.12.16,400,"217,222"
2010.12.17,396,"273,072"
2010.12.20,389,"307,640"
2010.12.21,396,"318,276"
2010.12.22,398,"230,138"
2010.12.23,398,"105,910"
2010.12.24,385,"489,070"
2010.12.27,397,"304,237"
2010.12.28,403,"404,989"
2010.12.29,413,"223,860"
2010.12.30,405,"487,020"
2011.01.03,420,"230,336"
2011.01.04,430,"448,731"
2011.01.05,435,"301,071"
2011.01.06,432,"379,681"
2011.01.07,420,"291,904"
2011.01.10,418,"268,860"
2011.01.11,420,"168,477"
2011.01.12,423,"111,380"
2011.01.13,421,"190,500"
2011.01.14,420,"128,427"
2011.01.17,422,"126,420"
2011.01.18,415,"436,741"
2011.01.19,416,"196,983"
2011.01.20,413,"185,360"
2011.01.21,409,"168,003"
2011.01.24,428,"258,080"
2011.01.25,418,"96,500"
2011.01.26,412,"87,930"
2011.01.27,418,"152,538"
2011.01.28,423,"160,114"
2011.01.31,420,"90,252"
2011.02.01,419,"143,690"
2011.02.07,428,"247,916"
2011.02.08,433,"352,845"
2011.02.09,422,"248,801"
2011.02.10,426,"146,890"
2011.02.11,422,"173,257"
2011.02.14,420,"169,771"
2011.02.15,424,"211,800"
2011.02.16,425,"150,000"
2011.02.17,423,"169,230"
2011.02.18,428,"203,010"
2011.02.21,447,"579,291"
2011.02.22,456,"361,940"
2011.02.23,460,"650,072"
2011.02.24,476,"502,820"
2011.02.25,501,"971,590"
2011.02.28,492,"515,340"
2011.03.02,470,"547,470"
2011.03.03,472,"210,600"
2011.03.04,478,"171,570"
2011.03.07,479,"139,590"
2011.03.08,464,"500,467"
2011.03.09,466,"234,874"
2011.03.10,446,"656,440"
2011.03.11,460,"355,261"
2011.03.14,445,"174,930"
2011.03.15,425,"437,783"
2011.03.16,408,"360,147"
2011.03.17,418,"233,900"
2011.03.18,440,"241,850"
2011.03.21,442,"71,700"
2011.03.22,438,"218,140"
2011.03.23,438,"135,410"
2011.03.24,439,"65,910"
2011.03.25,412,"152,859"
2011.03.28,420,"269,961"
2011.03.29,425,"219,691"
2011.03.30,424,"207,310"
2011.03.31,430,"146,482"
2011.04.01,436,"109,930"
2011.04.04,436,"226,911"
2011.04.05,453,"291,571"
2011.04.06,448,"163,268"
2011.04.07,445,"165,220"
2011.04.08,444,"271,392"
2011.04.11,441,"335,420"
2011.04.12,423,"273,082"
2011.04.13,426,"68,850"
2011.04.14,428,"229,710"
2011.04.15,423,"174,330"
2011.04.18,428,"148,955"
2011.04.19,434,"174,120"
2011.04.20,434,"131,370"
2011.04.21,433,"112,065"
2011.04.22,430,"190,856"
2011.04.25,423,"193,265"
2011.04.26,420,"238,260"
