date,sise,trading
2009.10.06,"7,900","39,020"
2009.10.07,"8,540","89,089"
2009.10.08,"8,800","47,463"
2009.10.09,"8,950","39,877"
2009.10.12,"8,930","26,947"
2009.10.13,"9,020","36,734"
2009.10.14,"9,130","1,325,666"
2009.10.15,"9,020","172,922"
2009.10.16,"8,700","119,581"
2009.10.19,"8,630","73,946"
2009.10.20,"8,500","57,961"
2009.10.21,"8,300","47,057"
2009.10.22,"8,400","43,916"
2009.10.23,"8,830","119,950"
2009.10.26,"8,870","23,390"
2009.10.27,"8,630","31,330"
2009.10.28,"8,150","67,193"
2009.10.29,"7,950","42,560"
2009.10.30,"8,250","54,046"
2009.11.02,"8,290","23,968"
2009.11.03,"8,290","10,598"
2009.11.04,"8,570","44,985"
2009.11.05,"8,370","19,970"
2009.11.06,"8,120","23,106"
2009.11.09,"8,320","20,963"
2009.11.10,"7,970","25,365"
2009.11.11,"8,060","19,969"
2009.11.12,"7,950","19,712"
2009.11.13,"7,970","59,472"
2009.11.16,"7,950","49,547"
2009.11.17,"7,850","26,276"
2009.11.18,"7,800","27,073"
2009.11.19,"7,890","38,616"
2009.11.20,"7,850","7,161"
2009.11.23,"7,780","51,699"
2009.11.24,"7,440","74,616"
2009.11.25,"7,490","91,963"
2009.11.26,"7,360","66,599"
2009.11.27,"6,870","42,127"
2009.11.30,"7,400","87,216"
2009.12.01,"7,350","133,839"
2009.12.02,"7,700","58,448"
2009.12.03,"7,630","72,899"
2009.12.04,"7,710","37,432"
2009.12.07,"7,780","105,045"
2009.12.08,"7,990","57,245"
2009.12.09,"8,080","32,562"
2009.12.10,"8,080","63,835"
2009.12.11,"8,110","34,120"
2009.12.14,"8,100","34,927"
2009.12.15,"8,500","128,581"
2009.12.16,"8,500","74,709"
2009.12.17,"8,620","130,480"
2009.12.18,"8,620","66,716"
2009.12.21,"8,700","122,157"
2009.12.22,"8,750","57,975"
2009.12.23,"8,570","59,642"
2009.12.24,"8,680","75,716"
2009.12.28,"8,720","130,310"
2009.12.29,"7,200","57,366"
2009.12.30,"6,950","53,338"
2010.01.04,"6,830","60,069"
2010.01.05,"7,050","59,314"
2010.01.06,"7,050","33,982"
2010.01.07,"7,280","84,239"
2010.01.08,"7,270","35,589"
2010.01.11,"7,060","34,453"
2010.01.12,"7,000","66,131"
2010.01.13,"6,850","38,033"
2010.01.14,"6,830","33,745"
2010.01.15,"6,740","70,973"
2010.01.18,"7,100","67,890"
2010.01.19,"6,960","49,979"
2010.01.20,"6,930","30,332"
2010.01.21,"7,020","58,209"
2010.01.22,"6,860","31,856"
2010.01.25,"6,720","58,811"
2010.01.26,"6,590","57,194"
2010.01.27,"6,410","17,266"
2010.01.28,"6,500","73,228"
2010.01.29,"6,350","35,435"
2010.02.01,"6,200","25,541"
2010.02.02,"6,200","18,933"
2010.02.03,"6,280","44,326"
2010.02.04,"6,180","26,288"
2010.02.05,"6,000","36,366"
2010.02.08,"5,930","24,511"
2010.02.09,"5,880","30,682"
2010.02.10,"5,780","38,410"
2010.02.11,"5,740","23,248"
2010.02.12,"5,690","34,284"
2010.02.16,"5,730","25,578"
2010.02.17,"6,000","55,920"
2010.02.18,"6,600","113,114"
2010.02.19,"6,360","51,558"
2010.02.22,"6,540","35,018"
2010.02.23,"6,480","34,165"
2010.02.24,"6,450","15,786"
2010.02.25,"6,270","91,798"
2010.02.26,"6,460","115,526"
2010.03.02,"6,480","64,208"
2010.03.03,"6,440","34,324"
2010.03.04,"6,240","37,016"
2010.03.05,"6,340","17,429"
2010.03.08,"6,260","41,396"
2010.03.09,"6,430","38,467"
2010.03.10,"6,580","58,623"
2010.03.11,"6,560","57,669"
2010.03.12,"6,750","110,109"
2010.03.15,"6,630","52,999"
2010.03.16,"6,760","73,451"
2010.03.17,"6,630","54,437"
2010.03.18,"6,670","55,642"
2010.03.19,"6,600","44,021"
2010.03.22,"6,700","187,549"
2010.03.23,"6,550","63,289"
2010.03.24,"6,280","74,725"
2010.03.25,"6,110","76,647"
2010.03.26,"6,170","46,640"
2010.03.29,"5,950","99,781"
2010.03.30,"5,960","24,087"
2010.03.31,"6,120","88,348"
2010.04.01,"6,130","74,359"
2010.04.02,"5,900","67,793"
2010.04.05,"5,650","79,583"
2010.04.06,"5,740","33,785"
2010.04.07,"5,500","125,937"
2010.04.08,"5,610","45,403"
2010.04.09,"5,680","60,538"
2010.04.12,"5,720","48,947"
2010.04.13,"5,700","36,948"
2010.04.14,"5,790","37,120"
2010.04.15,"5,850","41,850"
2010.04.16,"5,910","38,914"
2010.04.19,"5,950","45,683"
2010.04.20,"6,050","34,265"
2010.04.21,"5,960","28,888"
2010.04.22,"5,950","30,255"
2010.04.23,"5,920","15,675"
2010.04.26,"5,730","82,075"
2010.04.27,"5,610","57,713"
2010.04.28,"5,730","48,195"
2010.04.29,"5,600","90,648"
2010.04.30,"5,600","60,750"
2010.05.03,"5,510","46,581"
2010.05.04,"5,460","45,470"
2010.05.06,"5,320","144,628"
2010.05.07,"5,180","103,925"
2010.05.10,"5,170","118,869"
2010.05.11,"5,150","62,858"
2010.05.12,"5,090","70,160"
2010.05.13,"5,200","50,630"
2010.05.14,"5,250","38,646"
2010.05.17,"5,220","108,241"
2010.05.18,"5,030","67,386"
2010.05.19,"4,980","99,997"
2010.05.20,"4,820","70,626"
2010.05.24,"4,720","87,249"
2010.05.25,"4,570","82,423"
2010.05.26,"4,370","87,471"
2010.05.27,"4,400","73,751"
2010.05.28,"4,520","84,873"
2010.05.31,"4,785","53,301"
2010.06.01,"4,740","37,740"
2010.06.03,"4,780","44,274"
2010.06.04,"4,785","41,490"
2010.06.07,"4,655","40,429"
2010.06.08,"4,670","66,423"
2010.06.09,"4,800","40,417"
2010.06.10,"4,830","32,665"
2010.06.11,"5,350","513,268"
2010.06.14,"5,210","141,363"
2010.06.15,"5,530","364,814"
2010.06.16,"5,880","675,911"
2010.06.17,"6,020","239,350"
2010.06.18,"5,660","242,910"
2010.06.21,"6,260","420,540"
2010.06.22,"6,260","251,307"
2010.06.23,"6,160","139,298"
2010.06.24,"6,150","102,685"
2010.06.25,"6,130","85,832"
2010.06.28,"6,130","53,952"
2010.06.29,"5,850","98,549"
2010.06.30,"6,050","94,011"
2010.07.01,"6,130","107,259"
2010.07.02,"6,080","73,661"
2010.07.05,"5,970","55,765"
2010.07.06,"6,220","92,800"
2010.07.07,"6,350","433,636"
2010.07.08,"6,310","114,299"
2010.07.09,"6,160","91,619"
2010.07.12,"6,020","124,671"
2010.07.13,"5,920","134,707"
2010.07.14,"5,920","92,705"
2010.07.15,"5,770","165,423"
2010.07.16,"5,600","153,835"
2010.07.19,"5,380","191,537"
2010.07.20,"5,400","156,931"
2010.07.21,"5,500","182,454"
2010.07.22,"5,500","136,525"
2010.07.23,"5,610","212,311"
2010.07.26,"5,710","209,686"
2010.07.27,"5,810","401,767"
2010.07.28,"5,810","189,253"
2010.07.29,"5,510","202,310"
2010.07.30,"5,360","139,460"
2010.08.02,"5,100","160,481"
2010.08.03,"5,100","152,032"
2010.08.04,"5,100","134,654"
2010.08.05,"5,080","57,767"
2010.08.06,"5,300","89,934"
2010.08.09,"5,280","59,692"
2010.08.10,"5,190","90,947"
2010.08.11,"5,150","50,317"
2010.08.12,"5,010","48,001"
2010.08.13,"5,170","58,000"
2010.08.16,"5,120","31,651"
2010.08.17,"5,080","41,003"
2010.08.18,"5,100","39,599"
2010.08.19,"5,100","42,014"
2010.08.20,"5,150","55,269"
2010.08.23,"5,080","42,460"
2010.08.24,"4,985","55,176"
2010.08.25,"4,985","45,516"
2010.08.26,"4,950","36,353"
2010.08.27,"4,850","82,090"
2010.08.30,"4,910","26,095"
2010.08.31,"4,820","47,703"
2010.09.01,"4,810","52,826"
2010.09.02,"4,860","59,473"
2010.09.03,"5,300","238,642"
2010.09.06,"5,240","153,542"
2010.09.07,"5,200","54,439"
2010.09.08,"4,930","98,410"
2010.09.09,"5,050","71,364"
2010.09.10,"5,080","35,133"
2010.09.13,"5,030","33,091"
2010.09.14,"5,050","47,841"
2010.09.15,"5,020","66,921"
2010.09.16,"5,140","91,023"
