date,sise,trading
2009.10.06,"18,150","861,373"
2009.10.07,"18,350","2,315,453"
2009.10.08,"19,100","756,097"
2009.10.09,"19,050","356,694"
2009.10.12,"20,300","743,216"
2009.10.13,"19,700","329,066"
2009.10.14,"20,000","221,628"
2009.10.15,"19,900","237,615"
2009.10.16,"20,800","1,581,914"
2009.10.19,"20,700","336,804"
2009.10.20,"20,050","414,890"
2009.10.21,"19,900","359,152"
2009.10.22,"19,900","365,025"
2009.10.23,"19,700","221,481"
2009.10.26,"19,750","651,056"
2009.10.27,"21,200","1,818,827"
2009.10.28,"21,550","920,033"
2009.10.29,"21,350","1,297,292"
2009.10.30,"21,400","510,207"
2009.11.02,"23,450","739,791"
2009.11.03,"21,800","788,890"
2009.11.04,"21,650","626,192"
2009.11.05,"21,500","922,396"
2009.11.06,"21,450","367,834"
2009.11.09,"21,500","324,986"
2009.11.10,"22,050","737,634"
2009.11.11,"22,600","494,723"
2009.11.12,"22,450","598,029"
2009.11.13,"23,100","1,586,718"
2009.11.16,"21,650","1,258,717"
2009.11.17,"19,900","1,076,675"
2009.11.18,"19,200","682,896"
2009.11.19,"17,750","1,594,670"
2009.11.20,"19,250","1,268,277"
2009.11.23,"18,350","1,122,468"
2009.11.24,"18,100","402,118"
2009.11.25,"18,200","233,598"
2009.11.26,"18,000","325,431"
2009.11.27,"16,100","544,496"
2009.11.30,"17,350","462,509"
2009.12.01,"17,750","295,997"
2009.12.02,"18,200","453,091"
2009.12.03,"18,350","212,498"
2009.12.04,"18,550","238,067"
2009.12.07,"18,500","378,844"
2009.12.08,"17,900","319,203"
2009.12.09,"17,950","306,417"
2009.12.10,"17,550","421,670"
2009.12.11,"17,850","372,864"
2009.12.14,"17,700","238,648"
2009.12.15,"17,600","228,040"
2009.12.16,"17,500","284,507"
2009.12.17,"18,000","628,998"
2009.12.18,"17,550","340,381"
2009.12.21,"17,100","468,588"
2009.12.22,"16,750","309,617"
2009.12.23,"15,850","1,410,667"
2009.12.24,"15,700","381,847"
2009.12.28,"14,750","662,778"
2009.12.29,"15,900","1,047,218"
2009.12.30,"15,850","284,023"
2010.01.04,"15,000","525,849"
2010.01.05,"15,000","336,486"
2010.01.06,"15,450","562,317"
2010.01.07,"15,550","655,156"
2010.01.08,"16,000","428,497"
2010.01.11,"15,550","568,469"
2010.01.12,"15,600","210,409"
2010.01.13,"16,050","1,135,218"
2010.01.14,"15,950","366,088"
2010.01.15,"16,300","585,266"
2010.01.18,"16,600","489,479"
2010.01.19,"16,000","471,060"
2010.01.20,"15,650","489,858"
2010.01.21,"15,800","601,994"
2010.01.22,"15,600","294,114"
2010.01.25,"14,850","346,830"
2010.01.26,"15,050","708,595"
2010.01.27,"15,000","192,953"
2010.01.28,"14,750","273,900"
2010.01.29,"13,700","340,617"
2010.02.01,"13,100","389,629"
2010.02.02,"13,150","233,709"
2010.02.03,"13,850","221,989"
2010.02.04,"13,800","118,129"
2010.02.05,"13,100","239,163"
2010.02.08,"12,900","235,177"
2010.02.09,"12,700","231,151"
2010.02.10,"12,900","515,904"
2010.02.11,"13,200","182,697"
2010.02.12,"13,050","151,916"
2010.02.16,"13,100","127,646"
2010.02.17,"14,950","1,554,600"
2010.02.18,"14,100","1,302,169"
2010.02.19,"13,650","398,759"
2010.02.22,"13,950","244,735"
2010.02.23,"14,000","335,849"
2010.02.24,"14,050","270,678"
2010.02.25,"13,600","180,140"
2010.02.26,"13,950","134,601"
2010.03.02,"14,150","427,370"
2010.03.03,"14,050","150,696"
2010.03.04,"14,350","850,781"
2010.03.05,"14,200","323,284"
2010.03.08,"14,500","684,084"
2010.03.09,"14,350","432,554"
2010.03.10,"14,050","351,812"
2010.03.11,"14,300","670,498"
2010.03.12,"14,050","314,713"
2010.03.15,"13,800","323,157"
2010.03.16,"13,750","219,182"
2010.03.17,"13,800","277,596"
2010.03.18,"13,850","236,857"
2010.03.19,"14,250","465,561"
2010.03.22,"14,350","492,663"
2010.03.23,"14,050","294,927"
2010.03.24,"14,400","2,304,419"
2010.03.25,"14,200","382,929"
2010.03.26,"14,150","264,060"
2010.03.29,"13,800","294,286"
2010.03.30,"13,950","178,993"
2010.03.31,"13,750","264,047"
2010.04.01,"13,700","212,828"
2010.04.02,"13,250","361,301"
2010.04.05,"12,850","293,630"
2010.04.06,"12,700","170,557"
2010.04.07,"12,800","199,372"
2010.04.08,"13,150","129,447"
2010.04.09,"13,000","111,981"
2010.04.12,"13,050","185,497"
2010.04.13,"13,100","410,454"
2010.04.14,"12,950","155,072"
2010.04.15,"13,000","131,573"
2010.04.16,"13,550","694,449"
2010.04.19,"13,150","204,212"
2010.04.20,"13,650","582,606"
2010.04.21,"13,500","272,970"
2010.04.22,"13,300","181,856"
2010.04.23,"13,050","225,321"
2010.04.26,"13,150","184,840"
2010.04.27,"13,200","109,730"
2010.04.28,"12,850","220,983"
2010.04.29,"12,900","389,761"
2010.04.30,"12,750","204,752"
2010.05.03,"12,300","219,981"
2010.05.04,"11,850","283,959"
2010.05.06,"11,150","325,703"
2010.05.07,"10,600","347,818"
2010.05.10,"10,950","169,685"
2010.05.11,"10,950","230,513"
2010.05.12,"10,600","140,667"
2010.05.13,"10,300","277,307"
2010.05.14,"10,200","257,030"
2010.05.17,"9,020","698,421"
2010.05.18,"9,090","330,823"
2010.05.19,"9,010","262,334"
2010.05.20,"8,470","267,088"
2010.05.24,"8,540","239,832"
2010.05.25,"7,700","366,893"
2010.05.26,"8,170","253,209"
2010.05.27,"8,600","209,209"
2010.05.28,"8,750","164,301"
2010.05.31,"9,070","209,051"
2010.06.01,"9,030","151,935"
2010.06.03,"9,210","98,398"
2010.06.04,"9,090","95,358"
2010.06.07,"8,660","119,059"
2010.06.08,"9,050","152,444"
2010.06.09,"9,060","102,211"
2010.06.10,"10,400","774,182"
2010.06.11,"10,650","1,524,430"
2010.06.14,"10,950","980,586"
2010.06.15,"10,900","785,167"
2010.06.16,"10,200","588,788"
2010.06.17,"10,200","410,203"
2010.06.18,"9,750","368,067"
2010.06.21,"9,900","228,436"
2010.06.22,"9,660","229,867"
2010.06.23,"10,150","724,977"
2010.06.24,"10,100","398,696"
2010.06.25,"9,870","210,823"
2010.06.28,"9,870","128,094"
2010.06.29,"9,560","254,861"
2010.06.30,"9,450","149,745"
2010.07.01,"9,470","131,242"
2010.07.02,"9,390","169,865"
2010.07.05,"10,400","938,972"
2010.07.06,"10,250","350,370"
2010.07.07,"10,500","1,095,076"
2010.07.08,"10,650","288,251"
2010.07.09,"10,250","279,273"
2010.07.12,"10,250","193,714"
2010.07.13,"10,050","224,650"
2010.07.14,"10,400","363,045"
2010.07.15,"10,250","436,513"
2010.07.16,"10,050","307,736"
2010.07.19,"10,000","136,193"
2010.07.20,"10,400","278,180"
2010.07.21,"10,600","872,568"
2010.07.22,"10,400","453,319"
2010.07.23,"10,550","363,162"
2010.07.26,"10,650","632,056"
2010.07.27,"10,550","194,909"
2010.07.28,"10,550","249,398"
2010.07.29,"11,100","769,153"
2010.07.30,"10,600","691,127"
2010.08.02,"10,500","362,480"
2010.08.03,"10,300","373,924"
2010.08.04,"10,250","181,781"
2010.08.05,"10,450","262,067"
2010.08.06,"10,200","331,582"
2010.08.09,"10,350","310,838"
2010.08.10,"10,800","799,496"
2010.08.11,"10,500","361,948"
2010.08.12,"10,200","190,482"
2010.08.13,"10,300","196,109"
2010.08.16,"10,250","111,528"
2010.08.17,"10,250","256,708"
2010.08.18,"10,150","241,197"
2010.08.19,"9,600","677,899"
2010.08.20,"9,500","243,421"
2010.08.23,"9,400","138,936"
2010.08.24,"9,100","455,062"
2010.08.25,"9,100","129,708"
2010.08.26,"9,280","349,912"
2010.08.27,"9,190","123,541"
2010.08.30,"9,220","138,164"
2010.08.31,"9,000","146,531"
2010.09.01,"9,140","223,759"
2010.09.02,"9,300","121,986"
2010.09.03,"9,320","113,724"
2010.09.06,"9,310","125,842"
2010.09.07,"9,160","131,778"
2010.09.08,"9,030","108,222"
2010.09.09,"9,010","92,347"
2010.09.10,"9,100","109,748"
2010.09.13,"9,150","125,088"
2010.09.14,"9,110","140,168"
2010.09.15,"9,640","1,269,278"
2010.09.16,"9,300","377,484"
2010.09.17,"9,240","263,774"
2010.09.20,"9,130","169,100"
2010.09.24,"9,170","156,417"
2010.09.27,"9,120","253,010"
2010.09.28,"9,210","647,151"
2010.09.29,"9,110","297,961"
2010.09.30,"9,120","388,168"
2010.10.01,"9,170","602,437"
2010.10.04,"9,090","502,592"
2010.10.05,"8,790","547,317"
2010.10.06,"8,470","749,845"
2010.10.07,"8,330","450,147"
2010.10.08,"8,420","454,615"
2010.10.11,"8,450","461,086"
2010.10.12,"8,300","272,158"
2010.10.13,"9,220","3,371,261"
2010.10.14,"9,590","6,386,241"
2010.10.15,"9,450","2,691,854"
2010.10.18,"9,500","2,692,546"
2010.10.19,"9,670","1,872,395"
2010.10.20,"9,930","3,247,770"
2010.10.21,"9,670","1,224,574"
2010.10.22,"9,470","1,315,218"
2010.10.25,"9,320","1,130,005"
2010.10.26,"9,290","628,345"
2010.10.27,"9,460","891,696"
2010.10.28,"9,290","477,981"
2010.10.29,"9,060","980,865"
2010.11.01,"8,900","723,430"
2010.11.02,"8,850","2,106,480"
2010.11.03,"8,750","1,123,783"
2010.11.04,"8,520","816,980"
2010.11.05,"8,520","412,802"
2010.11.08,"8,640","278,085"
2010.11.09,"8,460","395,573"
2010.11.10,"8,220","906,458"
2010.11.11,"7,930","582,560"
2010.11.12,"7,550","629,828"
2010.11.15,"6,580","1,645,753"
2010.11.16,"6,620","530,209"
2010.11.17,"6,860","468,827"
2010.11.18,"6,810","207,574"
2010.11.19,"7,030","991,981"
2010.11.22,"6,950","208,247"
2010.11.23,"6,700","256,574"
