date,sise,trading
2009.10.06,"52,000","86,224"
2009.10.07,"52,200","52,213"
2009.10.08,"52,200","78,555"
2009.10.09,"51,900","150,504"
2009.10.12,"54,400","118,544"
2009.10.13,"53,500","50,682"
2009.10.14,"54,500","84,865"
2009.10.15,"54,900","158,591"
2009.10.16,"56,700","76,125"
2009.10.19,"57,900","133,421"
2009.10.20,"56,700","119,303"
2009.10.21,"55,800","67,771"
2009.10.22,"54,900","93,114"
2009.10.23,"54,800","58,377"
2009.10.26,"56,800","131,539"
2009.10.27,"57,000","165,210"
2009.10.28,"55,700","121,404"
2009.10.29,"53,500","273,578"
2009.10.30,"55,100","141,345"
2009.11.02,"54,300","129,840"
2009.11.03,"53,400","157,820"
2009.11.04,"54,000","67,297"
2009.11.05,"54,200","46,235"
2009.11.06,"54,500","46,212"
2009.11.09,"53,400","62,090"
2009.11.10,"54,500","40,920"
2009.11.11,"56,400","93,210"
2009.11.12,"55,900","48,151"
2009.11.13,"56,200","67,810"
2009.11.16,"57,000","39,265"
2009.11.17,"57,800","181,177"
2009.11.18,"58,400","121,236"
2009.11.19,"59,200","98,403"
2009.11.20,"59,600","36,147"
2009.11.23,"61,100","192,270"
2009.11.24,"61,700","184,449"
2009.11.25,"61,000","93,550"
2009.11.26,"61,000","58,082"
2009.11.27,"60,800","125,145"
2009.11.30,"62,700","158,774"
2009.12.01,"63,500","336,974"
2009.12.02,"63,500","87,026"
2009.12.03,"63,500","119,263"
2009.12.04,"63,800","108,132"
2009.12.07,"64,000","60,308"
2009.12.08,"64,500","49,166"
2009.12.09,"63,900","61,436"
2009.12.10,"63,800","92,712"
2009.12.11,"63,800","45,931"
2009.12.14,"64,500","89,718"
2009.12.15,"66,200","91,738"
2009.12.16,"65,900","59,849"
2009.12.17,"64,000","157,566"
2009.12.18,"64,500","73,338"
2009.12.21,"65,500","101,912"
2009.12.22,"65,400","122,641"
2009.12.23,"70,100","438,531"
2009.12.24,"70,600","122,582"
2009.12.28,"70,300","106,622"
2009.12.29,"70,500","185,293"
2009.12.30,"70,300","261,253"
2010.01.04,"73,400","158,976"
2010.01.05,"74,000","124,156"
2010.01.06,"74,300","72,453"
2010.01.07,"73,400","99,241"
2010.01.08,"72,900","114,818"
2010.01.11,"72,000","125,740"
2010.01.12,"72,500","98,142"
2010.01.13,"71,800","70,397"
2010.01.14,"71,100","132,968"
2010.01.15,"77,500","292,527"
2010.01.18,"76,900","162,430"
2010.01.19,"75,000","169,655"
2010.01.20,"74,900","192,798"
2010.01.21,"74,000","181,159"
2010.01.22,"72,900","109,417"
2010.01.25,"72,100","131,876"
2010.01.26,"70,500","163,202"
2010.01.27,"69,700","166,836"
2010.01.28,"72,400","146,932"
2010.01.29,"70,600","133,663"
2010.02.01,"71,800","74,728"
2010.02.02,"72,800","116,512"
2010.02.03,"72,200","162,244"
2010.02.04,"70,000","108,450"
2010.02.05,"67,800","121,509"
2010.02.08,"66,500","63,183"
2010.02.09,"67,100","82,177"
2010.02.10,"69,200","113,336"
2010.02.11,"71,500","110,516"
2010.02.12,"71,900","145,248"
2010.02.16,"71,800","43,993"
2010.02.17,"72,900","64,903"
2010.02.18,"72,500","49,991"
2010.02.19,"70,800","29,588"
2010.02.22,"71,600","28,555"
2010.02.23,"72,800","54,520"
2010.02.24,"71,800","37,085"
2010.02.25,"70,800","52,504"
2010.02.26,"70,300","36,660"
2010.03.02,"70,100","76,025"
2010.03.03,"69,700","59,252"
2010.03.04,"67,800","98,903"
2010.03.05,"68,800","67,113"
2010.03.08,"68,800","77,090"
2010.03.09,"67,200","125,428"
2010.03.10,"68,400","50,812"
2010.03.11,"68,800","101,072"
2010.03.12,"67,700","59,691"
2010.03.15,"67,500","35,569"
2010.03.16,"67,000","28,195"
2010.03.17,"68,700","206,273"
2010.03.18,"69,100","48,942"
2010.03.19,"68,700","87,472"
2010.03.22,"69,000","77,863"
2010.03.23,"68,400","80,971"
2010.03.24,"68,500","91,368"
2010.03.25,"68,800","103,077"
2010.03.26,"68,300","53,030"
2010.03.29,"67,900","80,521"
2010.03.30,"68,300","104,676"
2010.03.31,"67,400","86,343"
2010.04.01,"68,600","254,830"
2010.04.02,"69,500","91,470"
2010.04.05,"69,100","377,787"
2010.04.06,"68,700","85,387"
2010.04.07,"68,000","120,865"
2010.04.08,"66,100","256,701"
2010.04.09,"66,500","96,880"
2010.04.12,"65,700","98,918"
2010.04.13,"65,500","109,978"
2010.04.14,"67,000","96,837"
2010.04.15,"68,500","85,267"
2010.04.16,"68,300","77,551"
2010.04.19,"68,500","135,050"
2010.04.20,"69,000","58,576"
2010.04.21,"69,000","81,750"
2010.04.22,"69,000","42,255"
2010.04.23,"68,900","37,649"
2010.04.26,"69,000","56,831"
2010.04.27,"69,000","89,989"
2010.04.28,"68,200","104,260"
2010.04.29,"68,000","58,473"
2010.04.30,"66,600","112,324"
2010.05.03,"69,000","509,057"
2010.05.04,"75,300","1,018,963"
2010.05.06,"76,400","389,869"
2010.05.07,"79,500","366,437"
2010.05.10,"78,300","371,886"
2010.05.11,"77,500","275,125"
2010.05.12,"81,200","301,510"
2010.05.13,"82,500","979,912"
2010.05.14,"81,000","217,944"
2010.05.17,"81,000","152,597"
2010.05.18,"81,400","261,205"
2010.05.19,"81,200","182,146"
