date,sise,trading
2009.10.06,"3,140","21,141"
2009.10.07,"3,130","15,708"
2009.10.08,"3,165","20,866"
2009.10.09,"3,260","21,807"
2009.10.12,"3,280","6,113"
2009.10.13,"3,230","12,879"
2009.10.14,"3,260","12,135"
2009.10.15,"3,260","9,763"
2009.10.16,"3,230","12,349"
2009.10.19,"3,200","16,881"
2009.10.20,"3,200","18,611"
2009.10.21,"3,305","129,923"
2009.10.22,"3,330","73,830"
2009.10.23,"3,335","15,123"
2009.10.26,"3,200","34,418"
2009.10.27,"3,115","33,424"
2009.10.28,"3,175","29,503"
2009.10.29,"3,085","30,982"
2009.10.30,"3,100","23,531"
2009.11.02,"3,050","14,088"
2009.11.03,"3,255","28,184"
2009.11.04,"3,230","12,931"
2009.11.05,"3,140","17,237"
2009.11.06,"3,185","42,442"
2009.11.09,"3,660","198,431"
2009.11.10,"3,445","273,643"
2009.11.11,"3,485","111,714"
2009.11.12,"3,700","578,544"
2009.11.13,"4,255","1,125,434"
2009.11.16,"4,605","2,236,875"
2009.11.17,"4,600","933,591"
2009.11.18,"4,400","1,123,237"
2009.11.19,"4,300","537,722"
2009.11.20,"4,945","1,545,624"
2009.11.23,"5,160","2,275,203"
2009.11.24,"5,400","1,420,308"
2009.11.25,"5,000","1,078,463"
2009.11.26,"4,850","694,897"
2009.11.27,"4,500","398,196"
2009.11.30,"4,560","231,792"
2009.12.01,"4,940","625,642"
2009.12.02,"4,925","281,100"
2009.12.03,"4,700","273,197"
2009.12.04,"4,750","100,382"
2009.12.07,"4,640","122,322"
2009.12.08,"4,790","436,689"
2009.12.09,"4,715","253,935"
2009.12.10,"4,750","104,431"
2009.12.11,"4,790","74,783"
2009.12.14,"4,790","38,155"
2009.12.15,"4,715","108,109"
2009.12.16,"4,845","211,994"
2009.12.17,"4,740","58,166"
2009.12.18,"4,540","68,451"
2009.12.21,"4,910","144,935"
2009.12.22,"5,200","424,428"
2009.12.23,"5,360","486,908"
2009.12.24,"5,420","314,845"
2009.12.28,"5,270","112,478"
2009.12.29,"5,470","176,969"
2009.12.30,"5,830","466,875"
2010.01.04,"6,300","271,115"
2010.01.05,"6,320","94,476"
2010.01.06,"6,210","153,502"
2010.01.07,"7,130","598,659"
2010.01.08,"7,100","236,446"
2010.01.11,"7,090","421,367"
2010.01.12,"6,500","62,690"
2010.01.13,"6,450","78,639"
2010.01.14,"6,000","114,075"
2010.01.15,"5,950","97,967"
2010.01.18,"5,670","120,930"
2010.01.19,"5,680","79,607"
2010.01.20,"4,860","339,323"
2010.01.21,"4,950","122,586"
2010.01.22,"4,820","151,028"
2010.01.25,"4,550","96,812"
2010.01.26,"4,695","502,564"
2010.01.27,"4,520","206,267"
2010.01.28,"4,280","293,586"
2010.01.29,"4,360","286,049"
2010.02.01,"4,390","85,820"
2010.02.02,"4,385","138,148"
2010.02.03,"4,390","207,927"
