date,sise,trading
2009.10.06,"2,340","138,949"
2009.10.07,"2,475","1,151,766"
2009.10.08,"2,395","216,625"
2009.10.09,"2,360","96,152"
2009.10.12,"2,360","173,821"
2009.10.13,"2,350","90,757"
2009.10.14,"2,340","101,208"
2009.10.15,"2,350","76,471"
2009.10.16,"2,365","100,416"
2009.10.19,"2,365","489,241"
2009.10.20,"2,465","1,139,542"
2009.10.21,"2,515","1,428,492"
2009.10.22,"2,380","678,767"
2009.10.23,"2,360","190,649"
2009.10.26,"2,710","1,058,935"
2009.10.27,"2,665","2,776,664"
2009.10.28,"2,450","1,103,538"
2009.10.29,"2,400","493,475"
2009.10.30,"2,445","197,121"
2009.11.02,"2,600","1,024,204"
2009.11.03,"2,490","564,245"
2009.11.04,"2,520","213,555"
2009.11.05,"2,610","501,308"
2009.11.06,"2,610","453,762"
2009.11.09,"2,605","277,783"
2009.11.10,"2,630","161,552"
2009.11.11,"3,020","1,463,917"
2009.11.12,"3,150","2,189,527"
2009.11.13,"3,290","1,739,008"
2009.11.16,"3,100","1,348,857"
2009.11.17,"3,400","1,626,484"
2009.11.18,"3,150","800,369"
2009.11.19,"2,930","912,839"
2009.11.20,"2,905","355,868"
2009.11.23,"2,855","281,636"
2009.11.24,"2,670","397,850"
2009.11.25,"2,650","226,330"
2009.11.26,"2,600","181,135"
2009.11.27,"2,460","257,874"
2009.11.30,"2,455","327,364"
2009.12.01,"2,515","128,557"
2009.12.02,"2,550","195,852"
2009.12.03,"2,545","170,407"
2009.12.04,"2,560","96,005"
2009.12.07,"2,660","289,731"
2009.12.08,"2,655","216,500"
2009.12.09,"2,650","80,818"
2009.12.10,"2,655","62,769"
2009.12.11,"2,680","90,591"
2009.12.14,"2,700","94,232"
2009.12.15,"2,760","93,081"
2009.12.16,"2,770","81,509"
2009.12.17,"2,780","142,401"
2009.12.18,"2,760","71,730"
2009.12.21,"2,710","116,391"
2009.12.22,"2,740","82,064"
2009.12.23,"2,800","57,483"
2009.12.24,"2,780","68,709"
2009.12.28,"2,890","370,791"
2009.12.29,"2,700","176,800"
2009.12.30,"2,590","128,461"
2010.01.04,"2,575","98,147"
2010.01.05,"2,610","122,663"
2010.01.06,"2,620","77,508"
2010.01.07,"2,675","76,797"
2010.01.08,"2,715","85,390"
2010.01.11,"2,720","93,084"
2010.01.12,"2,820","678,628"
2010.01.13,"2,865","284,951"
2010.01.14,"2,885","118,746"
2010.01.15,"2,860","102,274"
2010.01.18,"2,905","94,240"
2010.01.19,"2,870","127,720"
2010.01.20,"2,855","97,143"
2010.01.21,"2,875","83,892"
2010.01.22,"2,930","139,236"
2010.01.25,"2,980","266,783"
2010.01.26,"3,000","202,064"
2010.01.27,"2,950","105,158"
2010.01.28,"2,850","210,858"
2010.01.29,"2,860","103,623"
2010.02.01,"2,930","99,366"
2010.02.02,"2,970","146,975"
2010.02.03,"3,010","66,614"
2010.02.04,"2,955","174,624"
2010.02.05,"2,830","178,295"
2010.02.08,"2,850","101,791"
2010.02.09,"2,940","94,511"
2010.02.10,"2,950","81,485"
2010.02.11,"2,995","112,383"
2010.02.12,"3,100","100,983"
2010.02.16,"3,140","196,249"
2010.02.17,"3,300","175,108"
2010.02.18,"3,220","189,120"
2010.02.19,"3,040","333,954"
2010.02.22,"3,215","95,058"
2010.02.23,"3,195","86,762"
2010.02.24,"3,060","191,168"
2010.02.25,"2,910","243,731"
2010.02.26,"2,940","148,136"
2010.03.02,"2,955","100,857"
2010.03.03,"2,910","117,508"
2010.03.04,"2,920","94,210"
2010.03.05,"2,940","110,609"
2010.03.08,"2,930","195,269"
2010.03.09,"2,800","221,599"
2010.03.10,"2,830","101,481"
2010.03.11,"2,740","106,150"
2010.03.12,"2,950","722,445"
2010.03.15,"3,015","502,381"
2010.03.16,"2,910","457,715"
2010.03.17,"2,820","371,543"
2010.03.18,"2,815","121,909"
2010.03.19,"2,880","262,951"
2010.03.22,"3,250","3,163,383"
2010.03.23,"3,175","1,171,073"
2010.03.24,"3,400","1,141,258"
2010.03.25,"3,240","468,814"
2010.03.26,"3,240","339,510"
2010.03.29,"3,050","383,476"
2010.03.30,"3,140","169,861"
2010.03.31,"3,110","195,578"
2010.04.01,"3,220","335,204"
2010.04.02,"3,090","225,925"
2010.04.05,"2,940","326,658"
2010.04.06,"2,955","99,443"
2010.04.07,"2,930","47,717"
2010.04.08,"2,895","109,355"
2010.04.09,"2,910","94,948"
2010.04.12,"2,925","83,806"
2010.04.13,"2,935","79,495"
2010.04.14,"2,935","44,964"
2010.04.15,"2,860","113,307"
2010.04.16,"2,770","188,355"
2010.04.19,"2,900","324,904"
2010.04.20,"2,800","203,490"
2010.04.21,"2,805","150,761"
2010.04.22,"2,760","101,533"
2010.04.23,"2,760","127,367"
2010.04.26,"2,870","246,128"
2010.04.27,"2,780","124,811"
2010.04.28,"2,705","147,116"
2010.04.29,"2,575","262,661"
2010.04.30,"2,540","127,105"
2010.05.03,"2,535","61,237"
2010.05.04,"2,555","47,007"
2010.05.06,"2,455","95,099"
2010.05.07,"2,400","107,819"
2010.05.10,"2,475","49,100"
2010.05.11,"2,435","61,719"
2010.05.12,"2,340","184,966"
2010.05.13,"2,260","120,073"
2010.05.14,"2,255","107,018"
2010.05.17,"2,250","39,095"
2010.05.18,"2,235","61,329"
2010.05.19,"2,195","62,804"
2010.05.20,"2,185","44,046"
2010.05.24,"2,145","56,658"
2010.05.25,"1,950","129,559"
2010.05.26,"1,990","67,010"
2010.05.27,"2,005","47,727"
2010.05.28,"2,070","26,264"
2010.05.31,"2,135","25,540"
2010.06.01,"2,120","46,882"
2010.06.03,"2,165","32,709"
2010.06.04,"2,160","19,227"
2010.06.07,"2,095","32,281"
2010.06.08,"2,100","18,262"
2010.06.09,"2,130","25,869"
2010.06.10,"2,135","16,687"
2010.06.11,"2,140","29,625"
2010.06.14,"2,145","30,095"
2010.06.15,"2,150","38,811"
2010.06.16,"2,165","40,136"
2010.06.17,"2,200","24,951"
2010.06.18,"2,205","33,195"
2010.06.21,"2,210","38,815"
2010.06.22,"2,210","65,816"
