date,sise,trading
2009.10.06,"3,105","4,529"
2009.10.07,"3,035","9,681"
2009.10.08,"3,100","5,823"
2009.10.09,"3,210","9,769"
2009.10.12,"3,140","2,979"
2009.10.13,"3,210","11,123"
2009.10.14,"3,245","5,589"
2009.10.15,"3,260","8,193"
2009.10.16,"3,320","6,385"
2009.10.19,"3,525","29,138"
2009.10.20,"3,500","33,532"
2009.10.21,"3,455","18,320"
2009.10.22,"3,530","12,348"
2009.10.23,"3,500","7,350"
2009.10.26,"3,305","8,875"
2009.10.27,"3,400","7,191"
2009.10.28,"3,610","27,507"
2009.10.29,"3,600","63,726"
2009.10.30,"3,700","14,241"
2009.11.02,"3,615","14,103"
2009.11.03,"3,455","12,718"
2009.11.04,"3,450","3,901"
2009.11.05,"3,300","5,879"
2009.11.06,"3,400","3,135"
2009.11.09,"3,310","5,781"
2009.11.10,"3,340","14,640"
2009.11.11,"3,470",882
2009.11.12,"3,450","1,279"
2009.11.13,"3,460","9,819"
2009.11.16,"3,500","3,149"
2009.11.17,"3,495","7,206"
2009.11.18,"3,485","1,324"
2009.11.19,"3,430",776
2009.11.20,"3,350","5,400"
2009.11.23,"3,365","4,898"
2009.11.24,"3,360","3,529"
2009.11.25,"3,315","5,217"
2009.11.26,"3,350","1,029"
2009.11.27,"3,100","7,309"
2009.11.30,"3,275","1,591"
2009.12.01,"3,300","1,070"
2009.12.02,"3,300",624
2009.12.03,"3,280","12,763"
2009.12.04,"3,355",114
2009.12.07,"3,365",578
2009.12.08,"3,395","1,071"
2009.12.09,"3,300","10,619"
2009.12.10,"3,250","5,507"
2009.12.11,"3,210","2,340"
2009.12.14,"3,300","9,271"
2009.12.15,"3,460","3,976"
2009.12.16,"3,500","15,316"
2009.12.17,"3,520","13,470"
2009.12.18,"3,430","3,645"
2009.12.21,"3,450","11,139"
2009.12.22,"3,460","8,095"
2009.12.23,"3,460","5,432"
2009.12.24,"3,400","1,414"
2009.12.28,"3,500","2,982"
2009.12.29,"3,500","2,006"
2009.12.30,"3,580",1
2010.01.04,"3,495",208
2010.01.05,"3,495",254
2010.01.06,"3,330","1,498"
2010.01.07,"3,500",478
2010.01.08,"3,400","1,769"
2010.01.11,"3,380",528
2010.01.12,"3,280","2,009"
2010.01.13,"3,255","4,449"
2010.01.14,"3,260","6,957"
2010.01.15,"3,330","2,518"
2010.01.18,"3,480","1,758"
2010.01.19,"3,370","18,827"
2010.01.20,"3,410","1,213"
2010.01.21,"3,400","1,949"
2010.01.22,"3,265","4,074"
2010.01.25,"3,395","22,386"
2010.01.26,"3,330","13,877"
2010.01.27,"3,280","12,116"
2010.01.28,"3,200","2,621"
2010.01.29,"3,080","2,845"
2010.02.01,"3,100","4,725"
2010.02.02,"3,095","3,155"
2010.02.03,"3,075","1,628"
2010.02.04,"3,035","2,215"
2010.02.05,"3,020","2,215"
2010.02.08,"3,070",906
2010.02.09,"2,950","2,440"
2010.02.10,"3,000",540
2010.02.11,"3,000","1,927"
2010.02.12,"3,050",80
2010.02.16,"3,060",3
2010.02.17,"3,050","10,160"
2010.02.18,"3,030",599
2010.02.19,"3,035","1,575"
2010.02.22,"2,970","2,228"
2010.02.23,"2,915","2,309"
2010.02.24,"2,895","3,478"
2010.02.25,"2,795","2,796"
2010.02.26,"2,895","1,031"
2010.03.02,"2,905","2,053"
2010.03.03,"2,765","2,765"
2010.03.04,"2,755","8,529"
2010.03.05,"2,680","6,184"
2010.03.08,"2,680","3,386"
2010.03.09,"2,700","1,915"
2010.03.10,"2,670",301
2010.03.11,"2,670",791
2010.03.12,"2,670","4,281"
2010.03.15,"2,690","2,581"
2010.03.16,"2,655","1,945"
2010.03.17,"2,775","14,173"
2010.03.18,"3,190","70,872"
2010.03.19,"3,290","141,286"
2010.03.22,"3,340","28,923"
2010.03.23,"3,410","62,811"
2010.03.24,"3,380","25,554"
2010.03.25,"3,310","12,165"
2010.03.26,"3,345","16,943"
2010.03.29,"3,395","12,524"
2010.03.30,"3,420","2,821"
2010.03.31,"3,420","6,574"
2010.04.01,"3,420","5,775"
2010.04.02,"3,395","3,378"
2010.04.05,"3,325","4,020"
2010.04.06,"3,335","7,964"
2010.04.07,"3,350","9,412"
2010.04.08,"3,360","7,348"
2010.04.09,"3,415","7,680"
2010.04.12,"3,395","8,259"
2010.04.13,"3,370","8,750"
2010.04.14,"3,410","21,891"
2010.04.15,"3,435","48,237"
2010.04.16,"3,490","16,088"
2010.04.19,"3,555","18,450"
2010.04.20,"3,620","36,649"
2010.04.21,"3,590","26,621"
2010.04.22,"3,605","24,035"
2010.04.23,"3,650","50,371"
2010.04.26,"3,640","7,520"
2010.04.27,"3,595","11,183"
2010.04.28,"3,595","22,445"
2010.04.29,"3,595","15,546"
2010.04.30,"3,520","19,706"
2010.05.03,"3,485","12,058"
2010.05.04,"3,485","25,922"
2010.05.06,"3,595","49,427"
2010.05.07,"3,560","21,666"
2010.05.10,"3,595","25,689"
2010.05.11,"3,540","12,004"
2010.05.12,"3,370","187,357"
2010.05.13,"3,380","39,503"
2010.05.14,"3,385","17,250"
2010.05.17,"3,440","21,067"
2010.05.18,"3,475","2,711"
2010.05.19,"3,460","3,896"
2010.05.20,"3,465","8,142"
2010.05.24,"3,475","4,195"
2010.05.25,"3,325","3,974"
2010.05.26,"3,365","3,946"
2010.05.27,"3,355","2,901"
2010.05.28,"3,340","2,128"
2010.05.31,"3,365","7,771"
2010.06.01,"3,345","2,107"
2010.06.03,"3,300","4,744"
2010.06.04,"3,335","1,747"
2010.06.07,"3,290",213
2010.06.08,"3,295","10,586"
2010.06.09,"3,330",717
2010.06.10,"3,335",985
2010.06.11,"3,335","3,292"
2010.06.14,"3,305","10,432"
2010.06.15,"3,300","10,600"
2010.06.16,"3,275","8,166"
2010.06.17,"3,165","8,036"
2010.06.18,"3,175","22,159"
2010.06.21,"3,090","10,181"
2010.06.22,"3,085","5,793"
2010.06.23,"3,085",358
2010.06.24,"2,870","69,280"
2010.06.25,"2,815","19,821"
2010.06.28,"2,865","9,401"
2010.06.29,"2,880","4,676"
2010.06.30,"2,925","4,841"
2010.07.01,"2,890","13,334"
2010.07.02,"2,975","4,247"
2010.07.05,"2,985","8,117"
2010.07.06,"3,015","1,548"
2010.07.07,"2,980","5,704"
2010.07.08,"3,010","4,788"
2010.07.09,"3,010",588
2010.07.12,"3,005","1,596"
2010.07.13,"3,000","5,061"
2010.07.14,"2,990","7,965"
2010.07.15,"2,990","8,612"
2010.07.16,"2,950","5,134"
2010.07.19,"2,975","12,913"
2010.07.20,"2,960","1,387"
2010.07.21,"2,910","8,274"
2010.07.22,"2,830","11,380"
2010.07.23,"2,890","2,855"
2010.07.26,"2,895","2,815"
2010.07.27,"2,875","7,347"
2010.07.28,"2,895","1,420"
2010.07.29,"2,870","1,141"
2010.07.30,"2,890","3,234"
2010.08.02,"2,885","4,299"
2010.08.03,"2,845","7,568"
2010.08.04,"2,800","5,221"
2010.08.05,"2,775","8,262"
2010.08.06,"2,735","5,221"
2010.08.09,"2,805","8,908"
2010.08.10,"2,825","4,176"
2010.08.11,"2,800","4,264"
2010.08.12,"2,705","6,462"
2010.08.13,"2,735","15,236"
2010.08.16,"2,715","9,968"
2010.08.17,"2,705","1,565"
2010.08.18,"2,695","12,920"
2010.08.19,"2,750","4,030"
2010.08.20,"2,990","14,528"
2010.08.23,"3,020","2,562"
2010.08.24,"3,020","5,124"
2010.08.25,"3,000","5,979"
2010.08.26,"3,010","6,086"
2010.08.27,"3,010","5,657"
2010.08.30,"3,010",411
2010.08.31,"2,885","3,427"
2010.09.01,"2,895","10,019"
2010.09.02,"3,040","16,254"
2010.09.03,"3,090","13,130"
2010.09.06,"3,160","5,172"
2010.09.07,"3,200","10,648"
2010.09.08,"3,200",584
2010.09.09,"3,215","1,701"
2010.09.10,"3,200","4,117"
2010.09.13,"3,100","44,568"
2010.09.14,"3,070","2,284"
2010.09.15,"3,000","2,226"
2010.09.16,"3,000","2,415"
2010.09.17,"2,970","4,612"
2010.09.20,"2,970","2,233"
2010.09.24,"2,995","6,296"
2010.09.27,"2,920","5,781"
2010.09.28,"2,930","8,315"
2010.09.29,"2,835","10,844"
2010.09.30,"2,795","15,491"
2010.10.01,"2,795","6,826"
2010.10.04,"2,830","9,865"
2010.10.05,"2,710","8,931"
2010.10.06,"2,740","15,436"
2010.10.07,"2,740","8,382"
2010.10.08,"2,795","8,843"
2010.10.11,"2,820","3,858"
2010.10.12,"2,965","46,846"
2010.10.13,"2,985","12,567"
2010.10.14,"2,980","8,692"
2010.10.15,"2,965","5,212"
2010.10.18,"2,990","5,873"
2010.10.19,"2,980","3,881"
2010.10.20,"2,950","8,736"
2010.10.21,"2,950","10,825"
2010.10.22,"2,970","9,880"
2010.10.25,"2,970","9,670"
2010.10.26,"2,975","4,212"
2010.10.27,"2,970","8,426"
2010.10.28,"2,985","23,418"
2010.10.29,"2,960","6,786"
2010.11.01,"3,005","11,440"
2010.11.02,"3,030","9,441"
2010.11.03,"3,040","1,970"
2010.11.04,"2,995","2,556"
2010.11.05,"3,050","4,637"
2010.11.08,"2,970","4,035"
2010.11.09,"2,955","1,094"
2010.11.10,"2,935","7,162"
2010.11.11,"2,890","10,432"
2010.11.12,"2,980","8,770"
2010.11.15,"2,955","5,409"
2010.11.16,"2,940","1,596"
2010.11.17,"2,940","1,573"
2010.11.18,"2,980","4,054"
2010.11.19,"2,950",360
2010.11.22,"2,930","1,535"
2010.11.23,"2,945","3,296"
2010.11.24,"2,810","8,749"
2010.11.25,"2,880",673
2010.11.26,"2,810","15,861"
2010.11.29,"2,860",182
2010.11.30,"2,900","1,549"
2010.12.01,"2,895",789
2010.12.02,"2,920","11,278"
2010.12.03,"2,960","17,610"
2010.12.06,"2,905","13,241"
2010.12.07,"2,900",91
2010.12.08,"2,865","4,043"
2010.12.09,"2,890","5,459"
2010.12.10,"2,890","3,578"
2010.12.13,"2,890","6,190"
2010.12.14,"2,885",930
2010.12.15,"2,890","3,419"
2010.12.16,"2,880","1,853"
2010.12.17,"2,880","5,153"
2010.12.20,"2,920","4,749"
2010.12.21,"2,985","13,950"
2010.12.22,"2,990","1,664"
2010.12.23,"2,945",732
2010.12.24,"2,980","2,481"
2010.12.27,"2,990","6,326"
