date,sise,trading
2009.10.06,"1,955","7,461"
2009.10.07,"1,980","3,652"
2009.10.08,"1,985","4,367"
2009.10.09,"1,990","2,321"
2009.10.12,"1,990","7,123"
2009.10.13,"1,985","5,150"
2009.10.14,"1,980","13,756"
2009.10.15,"1,980","10,591"
2009.10.16,"1,970","10,269"
2009.10.19,"1,965","8,703"
2009.10.20,"1,925","14,235"
2009.10.21,"1,945","4,208"
2009.10.22,"2,035","230,196"
2009.10.23,"2,005","40,705"
2009.10.26,"1,985","21,857"
2009.10.27,"1,950","14,212"
2009.10.28,"1,925","8,819"
2009.10.29,"1,900","23,159"
2009.10.30,"1,935","1,604"
2009.11.02,"1,870","24,255"
2009.11.03,"1,865","12,888"
2009.11.04,"1,905","11,860"
2009.11.05,"1,910",962
2009.11.06,"1,920","9,505"
2009.11.09,"1,885","11,535"
2009.11.10,"1,890","11,132"
2009.11.11,"1,900","5,331"
2009.11.12,"1,925","5,870"
2009.11.13,"1,935","13,506"
2009.11.16,"2,010","94,591"
2009.11.17,"2,020","59,210"
2009.11.18,"2,145","139,776"
2009.11.19,"2,450","623,149"
2009.11.20,"2,480","382,010"
2009.11.23,"2,635","359,603"
2009.11.24,"2,600","474,615"
2009.11.25,"2,480","165,574"
2009.11.26,"2,305","188,665"
2009.11.27,"2,190","110,602"
2009.11.30,"2,215","69,553"
2009.12.01,"2,225","64,371"
2009.12.02,"2,360","197,836"
2009.12.03,"2,340","64,315"
2009.12.04,"2,305","30,630"
2009.12.07,"2,390","94,536"
2009.12.08,"2,520","324,471"
2009.12.09,"2,560","128,159"
2009.12.10,"2,470","55,080"
2009.12.11,"2,480","65,246"
2009.12.14,"2,510","81,800"
2009.12.15,"2,460","112,509"
2009.12.16,"2,435","73,363"
2009.12.17,"2,365","87,670"
2009.12.18,"2,215","151,390"
2009.12.21,"2,220","102,862"
2009.12.22,"2,075","365,206"
2009.12.23,"2,080","69,454"
2009.12.24,"2,070","97,912"
2009.12.28,"2,110","110,382"
2009.12.29,"2,090","78,778"
2009.12.30,"2,085","60,208"
2010.01.04,"2,085","54,460"
2010.01.05,"2,105","100,226"
2010.01.06,"2,200","201,765"
2010.01.07,"2,195","71,027"
2010.01.08,"2,215","63,777"
2010.01.11,"2,205","62,947"
2010.01.12,"2,245","106,740"
2010.01.13,"2,270","86,852"
2010.01.14,"2,225","74,496"
2010.01.15,"2,150","69,473"
2010.01.18,"2,120","80,018"
2010.01.19,"2,180","74,320"
2010.01.20,"2,130","85,373"
2010.01.21,"2,140","34,726"
2010.01.22,"2,120","43,474"
2010.01.25,"2,035","67,857"
2010.01.26,"2,040","32,243"
2010.01.27,"2,050","19,921"
2010.01.28,"2,125","72,204"
2010.01.29,"2,060","18,307"
2010.02.01,"2,075","22,529"
2010.02.02,"2,100","10,554"
2010.02.03,"2,080","24,908"
2010.02.04,"2,100","9,027"
2010.02.05,"2,070","12,340"
2010.02.08,"2,030","28,325"
2010.02.09,"2,030","6,509"
2010.02.10,"2,030","9,182"
2010.02.11,"2,050","13,478"
2010.02.12,"2,055","7,650"
2010.02.16,"2,120","64,368"
2010.02.17,"2,125","18,547"
2010.02.18,"2,120","9,220"
2010.02.19,"2,085","19,857"
2010.02.22,"2,115","21,498"
2010.02.23,"2,115","25,018"
2010.02.24,"2,125","5,972"
2010.02.25,"2,105","38,312"
2010.02.26,"2,140","25,224"
2010.03.02,"2,170","53,475"
2010.03.03,"2,210","54,341"
2010.03.04,"2,180","46,741"
2010.03.05,"2,180","38,177"
2010.03.08,"2,155","37,340"
2010.03.09,"2,165","24,892"
2010.03.10,"2,140","41,335"
2010.03.11,"2,140","13,826"
2010.03.12,"2,150","15,529"
2010.03.15,"2,190","34,481"
2010.03.16,"2,170","22,270"
2010.03.17,"2,190","30,939"
2010.03.18,"2,185","40,151"
2010.03.19,"2,190","35,620"
2010.03.22,"2,190","22,679"
2010.03.23,"2,260","51,873"
2010.03.24,"2,230","24,562"
2010.03.25,"2,350","885,477"
2010.03.26,"2,405","470,087"
2010.03.29,"2,315","209,454"
2010.03.30,"2,660","1,444,078"
2010.03.31,"2,705","1,720,845"
2010.04.01,"2,750","1,671,909"
2010.04.02,"2,530","830,540"
2010.04.05,"2,775","1,695,421"
2010.04.06,"2,535","691,226"
2010.04.07,"2,570","1,058,867"
2010.04.08,"2,660","584,922"
2010.04.09,"2,590","1,085,020"
2010.04.12,"2,570","301,307"
2010.04.13,"2,505","129,340"
2010.04.14,"2,515","149,432"
2010.04.15,"2,360","486,579"
2010.04.16,"2,300","316,454"
2010.04.19,"2,275","156,960"
2010.04.20,"2,320","102,436"
2010.04.21,"2,350","195,959"
2010.04.22,"2,325","70,491"
2010.04.23,"2,300","146,845"
2010.04.26,"2,375","156,803"
